name	location	university	type	language
Kulturanthropologie und Europäische Ethnologie	Freiburg	Albert-Ludwigs-Universität Freiburg im Breisgau	Bachelor	Deutsch
Kulturanthropologie und europäische Ethnologie	Frankfurt am Main	Johann Wolfgang Goethe-Universität, Frankfurt am Main	Bachelor	Deutsch
Kulturanthropologie/Ethnologie, europäische	Göttingen	Georg-August-Universität Göttingen	Bachelor	Deutsch
Kulturanthropologie/Ethnologie, europäische	Göttingen	Georg-August-Universität Göttingen	Master	Deutsch
Kulturanthropologie/Volkskunde	Mainz	Johannes Gutenberg-Universität Mainz	Bachelor	Deutsch
Kulturanthropologie/Volkskunde	Münster	Westfälische Wilhelms-Universität Münster	Master	Deutsch
Kulturanthropologie/Volkskunde	Mainz	Johannes Gutenberg-Universität Mainz	Master	Deutsch
Kulturarbeit	Potsdam	Fachhochschule Potsdam	Bachelor	Deutsch
Kulturelle Begegnungsräume der Frühen Neuzeit	Potsdam	Universität Potsdam	Master	Deutsch
Kulturelle Bildung	Ludwigsburg	Pädagogische Hochschule Ludwigsburg	Master	Deutsch
Kulturelle Bildung an Schulen	Marburg	Philipps-Universität Marburg	Master	Deutsch
Kulturelle Grundlagen Europas	Konstanz	Universität Konstanz	Master	Deutsch
Kulturelle Musikwissenschaft	Göttingen	Georg-August-Universität Göttingen	Master	Deutsch
Kulturen der Aufkärung - interdisziplinärer Master	Halle an der Saale	Martin-Luther-Universität Halle-Wittenberg	Master	Deutsch
Kulturen der europäischen Vormoderne	Paderborn	Universität Paderborn	Master	Deutsch
Kulturen des Kuratorischen	Leipzig	Hochschule für Grafik und Buchkunst Leipzig	Master	Deutsch
Kulturen und Literaturen Mittel- und Osteuropas	Berlin	Humboldt-Universität zu Berlin	Master	Deutsch
Kulturen und Sprachen des mediterranen Raums	Göttingen	Georg-August-Universität Göttingen	Master	Deutsch
Kulturerbe	Paderborn	Universität Paderborn	Master	Deutsch
Kulturgeographie	Erlangen	Friedrich-Alexander-Universität Erlangen-Nürnberg	Bachelor	Deutsch
Kulturgeographie	Erlangen	Friedrich-Alexander-Universität Erlangen-Nürnberg	Master	Deutsch
Kulturgeragogik	Münster	Fachhochschule Münster	Master	Deutsch
Kulturgeschichte des Christentums	Erlangen	Friedrich-Alexander-Universität Erlangen-Nürnberg	Bachelor	Deutsch
Kulturgeschichtliche Mittelalterstudien	Regensburg	Universität Regensburg	Master	Deutsch
Kulturgutsicherung	Bamberg	Otto-Friedrich-Universität Bamberg	Bachelor	Deutsch
Kulturjournalismus	Berlin	Universität der Künste Berlin	Master	Deutsch
Kulturmanagement	Weimar	Hochschule für Musik Franz Liszt Weimar	Master	Deutsch
Kulturmanagement	Bremen	Hochschule Bremen	Master	Deutsch
Kulturmanagement	Saarbrücken	Hochschule für Technik und Wirtschaft des Saarlandes	Master	Deutsch
Kulturmanagement (Musikökonomie)	Jena	Friedrich-Schiller-Universität Jena	Master	Deutsch
Kulturmanagement und Kulturtourismus	Frankfurt (Oder)	Europa-Universität Viadrina Frankfurt (Oder)	Master	Deutsch
Kulturpädagogik	Krefeld	Hochschule Niederrhein	Bachelor	Deutsch
Kulturpädagogik und Kulturmanagement	Krefeld	Hochschule Niederrhein	Master	Deutsch
Kulturpoetik der Literatur und Medien	Münster	Westfälische Wilhelms-Universität Münster	Master	Deutsch
Kulturstudien zu Lateinamerika/Estudios culturales de América Latina	Bonn	Rheinische Friedrich-Wilhelms-Universität Bonn	Master	Spanisch
Kulturvermittlung	Hildesheim	Universität Hildesheim	Master	Deutsch
Kulturvermittlung	Karlsruhe	Pädagogische Hochschule Karlsruhe	Master	Deutsch
Kulturwirt / Cultural Studies and Business Administration	Essen	Universität Duisburg-Essen	Bachelor	Deutsch
Kulturwirt / Cultural Studies and Business Administration	Essen	Universität Duisburg-Essen	Master	Deutsch
Kulturwirt/in Romanistik/Französisch	Kassel	Universität Kassel	Bachelor	Deutsch
Kulturwirt/in Romanistik/Französisch	Kassel	Universität Kassel	Master	Deutsch
Kulturwirt/in Romanistik/Spanisch	Kassel	Universität Kassel	Bachelor	Deutsch
Kulturwirt/in Romanistik/Spanisch	Kassel	Universität Kassel	Master	Deutsch
Kulturwirtschaft/International Cultural and Business Studies	Passau	Universität Passau	Bachelor	Deutsch
Kulturwirtschaft/International Cultural and Business Studies	Passau	Universität Passau	Master	Deutsch
Kulturwissenschaft	Bremen	Universität Bremen	Bachelor	Deutsch
Kulturwissenschaft	Potsdam	Universität Potsdam	Bachelor	Deutsch
Kulturwissenschaft	Berlin	Humboldt-Universität zu Berlin	Bachelor	Deutsch
Kulturwissenschaft	Mainz	Universität Koblenz-Landau	Bachelor	Deutsch
Kulturwissenschaft	Berlin	Humboldt-Universität zu Berlin	Master	Deutsch
Kulturwissenschaft	Mainz	Universität Koblenz-Landau	Master	Deutsch
Kulturwissenschaft der Antike	Konstanz	Universität Konstanz	Bachelor	Deutsch
Kulturwissenschaft/Kulturmanagement	Ludwigsburg	Pädagogische Hochschule Ludwigsburg	Master	Deutsch
Kulturwissenschaften	Frankfurt (Oder)	Europa-Universität Viadrina Frankfurt (Oder)	Bachelor	Deutsch
Kulturwissenschaften	Hagen	FernUniversität in Hagen	Bachelor	Deutsch
Kulturwissenschaften	Leipzig	Universität Leipzig	Bachelor	Deutsch
Kulturwissenschaften	Vechta	Universität Vechta	Bachelor	Deutsch
Kulturwissenschaften	Lüneburg	Leuphana Universität Lüneburg	Bachelor	Deutsch
Kulturwissenschaften	Leipzig	Universität Leipzig	Master	Deutsch
Kulturwissenschaften	Vechta	Universität Vechta	Master	Deutsch
Kulturwissenschaften	Berlin	International Psychoanalytic University Berlin	Master	Deutsch
Kulturwissenschaften & ästhetische Praxis - Kulturpolitik im internationalen Vergleich	Hildesheim	Universität Hildesheim	Bachelor	Deutsch
Kulturwissenschaften - Culture, Arts and Media	Lüneburg	Leuphana Universität Lüneburg	Master	Deutsch
Kulturwissenschaften des Vorderen Orients (Elite-Masterstudiengang)	Bamberg	Otto-Friedrich-Universität Bamberg	Master	Deutsch
Kulturwissenschaften und ästhetische Praxis	Hildesheim	Universität Hildesheim	Bachelor	Deutsch
Kundenbeziehungsmanagement	Chemnitz	Technische Universität Chemnitz	Master	Deutsch
Kunst	Offenbach	Hochschule für Gestaltung Offenbach	Diplom	Deutsch
Kunst	Heidelberg	Pädagogische Hochschule Heidelberg	Bachelor	Deutsch
Kunst	Karlsruhe	Pädagogische Hochschule Karlsruhe	Bachelor	Deutsch
Kunst	Ludwigsburg	Pädagogische Hochschule Ludwigsburg	Bachelor	Deutsch
Kunst	Weingarten	Pädagogische Hochschule Weingarten	Bachelor	Deutsch
Kunst	Weingarten	Pädagogische Hochschule Weingarten	Bachelor	Deutsch
Kunst	Augsburg	Universität Augsburg	Staatsexamen	Deutsch
Kunst	Augsburg	Universität Augsburg	Staatsexamen	Deutsch
Kunst	Augsburg	Universität Augsburg	Staatsexamen	Deutsch
Kunst	Eichstätt	Katholische Universität Eichstätt - Ingolstadt	Staatsexamen	Deutsch
Kunst	Eichstätt	Katholische Universität Eichstätt - Ingolstadt	Staatsexamen	Deutsch
Kunst	Frankfurt am Main	Johann Wolfgang Goethe-Universität, Frankfurt am Main	Staatsexamen	Deutsch
Kunst	Frankfurt am Main	Johann Wolfgang Goethe-Universität, Frankfurt am Main	Staatsexamen	Deutsch
Kunst	Gießen	Justus-Liebig-Universität Gießen	Staatsexamen	Deutsch
Kunst	Gießen	Justus-Liebig-Universität Gießen	Staatsexamen	Deutsch
Kunst	Osnabrück	Universität Osnabrück	Bachelor	Deutsch
Kunst	Passau	Universität Passau	Staatsexamen	Deutsch
Kunst	Passau	Universität Passau	Staatsexamen	Deutsch
Kunst	Passau	Universität Passau	Staatsexamen	Deutsch
Kunst	Regensburg	Universität Regensburg	Staatsexamen	Deutsch
Kunst	Regensburg	Universität Regensburg	Staatsexamen	Deutsch
Kunst	Regensburg	Universität Regensburg	Staatsexamen	Deutsch
Kunst	Essen	Universität Duisburg-Essen	Bachelor	Deutsch
Kunst	Kassel	Universität Kassel	Staatsexamen	Deutsch
Kunst	Essen	Universität Duisburg-Essen	Bachelor	Deutsch
Kunst	Kassel	Universität Kassel	Staatsexamen	Deutsch
Kunst	Kassel	Universität Kassel	Staatsexamen	Deutsch
Kunst	Wuppertal	Bergische Universität Wuppertal	Bachelor	Deutsch
Kunst	Paderborn	Universität Paderborn	Bachelor	Deutsch
Kunst	Paderborn	Universität Paderborn	Bachelor	Deutsch
Kunst	Siegen	Universität Siegen	Bachelor	Deutsch
Kunst	Siegen	Universität Siegen	Bachelor	Deutsch
Kunst	Wuppertal	Bergische Universität Wuppertal	Master	Deutsch
Kunst	Wuppertal	Bergische Universität Wuppertal	Master	Deutsch
Kunst	Weingarten	Pädagogische Hochschule Weingarten	Master	Deutsch
Kunst	Weingarten	Pädagogische Hochschule Weingarten	Master	Deutsch
Kunst	Münster	Kunstakademie Münster, Hochschule für Bildende Künste	Bachelor	Deutsch
Kunst	Münster	Kunstakademie Münster, Hochschule für Bildende Künste	Bachelor	Deutsch
Kunst	Hildesheim	Universität Hildesheim	Bachelor	Deutsch
Kunst	Ludwigsburg	Pädagogische Hochschule Ludwigsburg	Bachelor	Deutsch
Kunst	Gießen	Justus-Liebig-Universität Gießen	Staatsexamen	Deutsch
Kunst	Karlsruhe	Pädagogische Hochschule Karlsruhe	Bachelor	Deutsch
Kunst	Ludwigsburg	Pädagogische Hochschule Ludwigsburg	Bachelor	Deutsch
Kunst	Frankfurt am Main	Johann Wolfgang Goethe-Universität, Frankfurt am Main	Staatsexamen	Deutsch
Kunst	Paderborn	Universität Paderborn	Bachelor	Deutsch
Kunst	Erfurt	Universität Erfurt	Bachelor	Deutsch
Kunst	Paderborn	Universität Paderborn	Bachelor	Deutsch
Kunst	Münster	Kunstakademie Münster, Hochschule für Bildende Künste	Bachelor	Deutsch
Kunst	Münster	Kunstakademie Münster, Hochschule für Bildende Künste	Bachelor	Deutsch
Kunst	Kiel	Christian-Albrechts-Universität zu Kiel	Bachelor	Deutsch
Kunst	Essen	Universität Duisburg-Essen	Bachelor	Deutsch
Kunst	Essen	Universität Duisburg-Essen	Bachelor	Deutsch
Kunst	Dresden	Technische Universität Dresden	Staatsexamen	Deutsch
Kunst	Siegen	Universität Siegen	Bachelor	Deutsch
Kunst	Siegen	Universität Siegen	Bachelor	Deutsch
Kunst	Frankfurt am Main	Johann Wolfgang Goethe-Universität, Frankfurt am Main	Staatsexamen	Deutsch
Kunst	Köln	Universität zu Köln	Bachelor	Deutsch
Kunst	Köln	Universität zu Köln	Bachelor	Deutsch
Kunst	Köln	Universität zu Köln	Bachelor	Deutsch
Kunst	Schwäbisch Gmünd	Pädagogische Hochschule Schwäbisch Gmünd	Bachelor	Deutsch
Kunst	Schwäbisch Gmünd	Pädagogische Hochschule Schwäbisch Gmünd	Bachelor	Deutsch
Kunst	Köln	Universität zu Köln	Bachelor	Deutsch
Kunst	Gießen	Justus-Liebig-Universität Gießen	Staatsexamen	Deutsch
Kunst	Leipzig	Universität Leipzig	Staatsexamen	Deutsch
Kunst	Leipzig	Universität Leipzig	Staatsexamen	Deutsch
Kunst	Leipzig	Universität Leipzig	Staatsexamen	Deutsch
Kunst	Essen	Universität Duisburg-Essen	Bachelor	Deutsch
Kunst	Bielefeld	Universität Bielefeld	Bachelor	Deutsch
Kunst	Paderborn	Universität Paderborn	Bachelor	Deutsch
Kunst	Dresden	Technische Universität Dresden	Staatsexamen	Deutsch
Kunst	Dresden	Technische Universität Dresden	Staatsexamen	Deutsch
Kunst	Wuppertal	Bergische Universität Wuppertal	Bachelor	Deutsch
Kunst	Freiburg	Pädagogische Hochschule Freiburg	Bachelor	Deutsch
Kunst	Freiburg	Pädagogische Hochschule Freiburg	Bachelor	Deutsch
Kunst	Heidelberg	Pädagogische Hochschule Heidelberg	Bachelor	Deutsch
Kunst	Heidelberg	Pädagogische Hochschule Heidelberg	Bachelor	Deutsch
Kunst	Wuppertal	Bergische Universität Wuppertal	Master	Deutsch
Kunst	Oldenburg	Carl von Ossietzky Universität Oldenburg	Master	Deutsch
Kunst	Oldenburg	Carl von Ossietzky Universität Oldenburg	Master	Deutsch
Kunst	Oldenburg	Carl von Ossietzky Universität Oldenburg	Master	Deutsch
Kunst	Kiel	Christian-Albrechts-Universität zu Kiel	Master	Deutsch
Kunst	Hildesheim	Universität Hildesheim	Master	Deutsch
Kunst	Hildesheim	Universität Hildesheim	Master	Deutsch
Kunst	Braunschweig	Hochschule für Bildende Künste Braunschweig	Master	Deutsch
Kunst	Flensburg	Europa-Universität Flensburg	Master	Deutsch
Kunst	Flensburg	Europa-Universität Flensburg	Master	Deutsch
Kunst	Flensburg	Europa-Universität Flensburg	Master	Deutsch
Kunst	Wuppertal	Bergische Universität Wuppertal	Master	Deutsch
Kunst	Münster	Kunstakademie Münster, Hochschule für Bildende Künste	Master	Deutsch
Kunst	Münster	Kunstakademie Münster, Hochschule für Bildende Künste	Master	Deutsch
Kunst	Münster	Kunstakademie Münster, Hochschule für Bildende Künste	Master	Deutsch
Kunst	Münster	Kunstakademie Münster, Hochschule für Bildende Künste	Master	Deutsch
Kunst	Bielefeld	Universität Bielefeld	Master	Deutsch
Kunst	Essen	Universität Duisburg-Essen	Master	Deutsch
Kunst	Essen	Universität Duisburg-Essen	Master	Deutsch
Kunst	Essen	Universität Duisburg-Essen	Master	Deutsch
Kunst	Essen	Universität Duisburg-Essen	Master	Deutsch
Kunst	Paderborn	Universität Paderborn	Master	Deutsch
Kunst	Paderborn	Universität Paderborn	Master	Deutsch
Kunst	Paderborn	Universität Paderborn	Master	Deutsch
Kunst	Paderborn	Universität Paderborn	Master	Deutsch
Kunst	Siegen	Universität Siegen	Master	Deutsch
Kunst	Oldenburg	Carl von Ossietzky Universität Oldenburg	Master	Deutsch
Kunst	Köln	Universität zu Köln	Master	Deutsch
Kunst	Köln	Universität zu Köln	Master	Deutsch
Kunst	Köln	Universität zu Köln	Master	Deutsch
Kunst	Köln	Universität zu Köln	Master	Deutsch
Kunst	Flensburg	Europa-Universität Flensburg	Master	Deutsch
Kunst	Paderborn	Universität Paderborn	Master	Deutsch
Kunst	Heidelberg	Pädagogische Hochschule Heidelberg	Master	Deutsch
Kunst	Karlsruhe	Pädagogische Hochschule Karlsruhe	Master	Deutsch
Kunst	Karlsruhe	Pädagogische Hochschule Karlsruhe	Master	Deutsch
Kunst	Schwäbisch Gmünd	Pädagogische Hochschule Schwäbisch Gmünd	Master	Deutsch
Kunst	Schwäbisch Gmünd	Pädagogische Hochschule Schwäbisch Gmünd	Master	Deutsch
Kunst	Ludwigsburg	Pädagogische Hochschule Ludwigsburg	Master	Deutsch
Kunst	Ludwigsburg	Pädagogische Hochschule Ludwigsburg	Master	Deutsch
Kunst	Kiel	Christian-Albrechts-Universität zu Kiel	Master	Deutsch
Kunst	Siegen	Universität Siegen	Master	Deutsch
Kunst	Siegen	Universität Siegen	Master	Deutsch
Kunst	Siegen	Universität Siegen	Master	Deutsch
Kunst	Wuppertal	Bergische Universität Wuppertal	Master	Deutsch
Kunst (im Bachelor Sonderpädagogik)	Hannover	Gottfried Wilhelm Leibniz Universität Hannover	Bachelor	Deutsch
Kunst (im Master Sonderpädagogik)	Hannover	Gottfried Wilhelm Leibniz Universität Hannover	Master	Deutsch
Kunst (Lehramt an Grundschulen)	Osnabrück	Universität Osnabrück	Master	Deutsch
Kunst (Lehramt an Gymnasien)	Osnabrück	Universität Osnabrück	Master	Deutsch
Kunst (Lehramt an Haupt- und Realschulen)	Osnabrück	Universität Osnabrück	Master	Deutsch
Kunst (Lehramt für Gymnasien und Gesamtschulen)	Alfter	Alanus Hochschule	Master	Deutsch
Kunst (Unterrichtsfach Lehramt)	Lüneburg	Leuphana Universität Lüneburg	Bachelor	Deutsch
Kunst (Unterrichtsfach Lehramt)	Lüneburg	Leuphana Universität Lüneburg	Master	Deutsch
Kunst - Pädagogik - Therapie	Alfter	Alanus Hochschule	Bachelor	Deutsch
Kunst Berufskolleg	Dortmund	Technische Universität Dortmund	Bachelor	Deutsch
Kunst Berufskolleg	Dortmund	Technische Universität Dortmund	Master	Deutsch
Kunst Förderschule	Dortmund	Technische Universität Dortmund	Bachelor	Deutsch
Kunst Förderschule	Dortmund	Technische Universität Dortmund	Master	Deutsch
Kunst Grundschule	Dortmund	Technische Universität Dortmund	Bachelor	Deutsch
Kunst Grundschule	Dortmund	Technische Universität Dortmund	Master	Deutsch
Kunst Gymnasium und Gesamtschule	Dortmund	Technische Universität Dortmund	Bachelor	Deutsch
Kunst Gymnasium und Gesamtschule	Dortmund	Technische Universität Dortmund	Master	Deutsch
Kunst Haupt-, Real-, Sekundar- und Gesamtschulen	Dortmund	Technische Universität Dortmund	Bachelor	Deutsch
Kunst Haupt-, Real-, Sekundar- und Gesamtschulen	Dortmund	Technische Universität Dortmund	Master	Deutsch
Kunst im Sozialen. Kunsttherapie	Ottersberg	Hochschule für Künste im Sozialen, Ottersberg	Bachelor	Deutsch
Kunst Lehramt an Gymnasien	Kiel	Muthesius Kunsthochschule	Bachelor	Deutsch
Kunst Lehramt an Gymnasien	Kiel	Muthesius Kunsthochschule	Master	Deutsch
Kunst und Gestaltung	Greifswald	Universität Greifswald	Staatsexamen	Deutsch
Kunst und Gestaltung	Greifswald	Universität Greifswald	Staatsexamen	Deutsch
Kunst und Gestaltung	Rostock	Universität Rostock	Staatsexamen	Deutsch
Kunst und Kommunikation	Osnabrück	Universität Osnabrück	Master	Deutsch
Kunst und Kunstvermittlung	Paderborn	Universität Paderborn	Bachelor	Deutsch
Kunst und Medien	Berlin	Universität der Künste Berlin	Abschlussprüfung	Deutsch
Kunst und Medien	Oldenburg	Carl von Ossietzky Universität Oldenburg	Bachelor	Deutsch
Kunst und Multimedia	München	Ludwig-Maximilians-Universität München	Bachelor	Deutsch
Kunst und Musik	Bielefeld	Universität Bielefeld	Bachelor	Deutsch
Kunst und Musik	Bielefeld	Universität Bielefeld	Master	Deutsch
Kunst und öffentlicher Raum	Nürnberg	Akademie der Bildenden Künste Nürnberg	Diplom	Deutsch
Kunst und Theater im Sozialen	Ottersberg	Hochschule für Künste im Sozialen, Ottersberg	Master	Deutsch
Kunst und visuelle Medien	Flensburg	Europa-Universität Flensburg	Bachelor	Deutsch
Kunst, bildende (lehramtsbezogen)	Hamburg	Hochschule für Bildende Künste Hamburg	Bachelor	Deutsch
Kunst, bildende (lehramtsbezogen)	Hamburg	Hochschule für Bildende Künste Hamburg	Master	Deutsch
Kunst, freie	Frankfurt am Main	Staatliche Hochschule für Bildende Künste (Städelschule) Frankfurt am Main	Abschlussprüfung	Deutsch
Kunst, freie	Düsseldorf	Kunstakademie Düsseldorf	Bachelor	Deutsch
Kunst, Freie	Saarbrücken	Hochschule der Bildenden Künste Saar	Diplom	Deutsch
Kunst, Freie	Münster	Kunstakademie Münster, Hochschule für Bildende Künste	Abschlussprüfung	Deutsch
Kunst, Freie	Saarbrücken	Hochschule der Bildenden Künste Saar	Bachelor	Deutsch
Kunst, freie	Braunschweig	Hochschule für Bildende Künste Braunschweig	Abschlussprüfung	Deutsch
Kunst, Freie	Saarbrücken	Hochschule der Bildenden Künste Saar	Master	Deutsch
Kunst, Freie Bildende	Ottersberg	Hochschule für Künste im Sozialen, Ottersberg	Bachelor	Deutsch
Kunst, Musik und Medien: Organisation und Vermittlung	Marburg	Philipps-Universität Marburg	Bachelor	Deutsch
Kunst, Musik, Theater	München	Ludwig-Maximilians-Universität München	Bachelor	Deutsch
Kunst- und Bildgeschichte	Berlin	Humboldt-Universität zu Berlin	Bachelor	Deutsch
Kunst- und Bildgeschichte	Berlin	Humboldt-Universität zu Berlin	Master	Deutsch
Kunst- und Bildwissenschaft	Saarbrücken	Universität des Saarlandes	Bachelor	Deutsch
Kunst- und Designwissenschaft	Essen	Folkwang Universität der Künste	Master	Deutsch
Kunst- und Designwissenschaften	Essen	Universität Duisburg-Essen	Master	Deutsch
Kunst- und Kulturgeschichte	Augsburg	Universität Augsburg	Bachelor	Deutsch
Kunst- und Kulturgeschichte	Augsburg	Universität Augsburg	Master	Deutsch
Kunst- und Kulturmanagement	Karlsruhe	Internationale Karlshochschule - staatlich anerkannte Fachhochschule der MAI Privathochschulen gGmbH, Karlsruhe	Bachelor	Englisch
Kunst- und Medienwissenschaft	Oldenburg	Carl von Ossietzky Universität Oldenburg	Master	Deutsch
Kunst-Medien-Ästhetische Bildung	Bremen	Universität Bremen	Bachelor	Deutsch
Kunst-Medien-Ästhetische Bildung	Bremen	Universität Bremen	Bachelor	Deutsch
Kunst-Medien-Ästhetische Bildung	Bremen	Universität Bremen	Master	Deutsch
Kunst-Medien-Kulturelle Bildung	Frankfurt am Main	Johann Wolfgang Goethe-Universität, Frankfurt am Main	Bachelor	Deutsch
Kunst-Medien-Kulturelle Bildung	Frankfurt am Main	Johann Wolfgang Goethe-Universität, Frankfurt am Main	Master	Deutsch
KUNST.Lehramt	Braunschweig	Hochschule für Bildende Künste Braunschweig	Bachelor	Deutsch
Kunst/Kunstpädagogik	Osnabrück	Universität Osnabrück	Bachelor	Deutsch
Kunstanaloges Coaching	Hamburg	MSH Medical School Hamburg - University of Applied Sciences and Medical University	Master	Deutsch
Kunsterziehung	Bamberg	Otto-Friedrich-Universität Bamberg	Staatsexamen	Deutsch
Kunsterziehung	Bamberg	Otto-Friedrich-Universität Bamberg	Staatsexamen	Deutsch
Kunsterziehung	Bamberg	Otto-Friedrich-Universität Bamberg	Staatsexamen	Deutsch
Kunsterziehung	Nürnberg	Akademie der Bildenden Künste Nürnberg	Staatsexamen	Deutsch
Kunsterziehung	Weimar	Bauhaus-Universität Weimar	Staatsexamen	Deutsch
Kunsterziehung	Bamberg	Otto-Friedrich-Universität Bamberg	Bachelor	Deutsch
Kunsterziehung	Saarbrücken	Hochschule der Bildenden Künste Saar	Staatsexamen	Deutsch
Kunsterziehung	Saarbrücken	Hochschule der Bildenden Künste Saar	Staatsexamen	Deutsch
Kunsterziehung	Saarbrücken	Hochschule der Bildenden Künste Saar	Staatsexamen	Deutsch
Kunsterziehung	Saarbrücken	Hochschule der Bildenden Künste Saar	Staatsexamen	Deutsch
Kunsterziehung	Erfurt	Universität Erfurt	Master	Deutsch
Kunsterziehung	Erfurt	Universität Erfurt	Master	Deutsch
Kunsterziehung, Doppelfach	Weimar	Bauhaus-Universität Weimar	Staatsexamen	Deutsch
Kunstgeschichte	Trier	Universität Trier	Bachelor	Deutsch
Kunstgeschichte	Frankfurt am Main	Johann Wolfgang Goethe-Universität, Frankfurt am Main	Bachelor	Deutsch
Kunstgeschichte	Halle an der Saale	Martin-Luther-Universität Halle-Wittenberg	Bachelor	Deutsch
Kunstgeschichte	Hamburg	Universität Hamburg	Bachelor	Deutsch
Kunstgeschichte	Karlsruhe	Karlsruher Institut für Technologie	Bachelor	Deutsch
Kunstgeschichte	Bonn	Rheinische Friedrich-Wilhelms-Universität Bonn	Master	Deutsch
Kunstgeschichte	Trier	Universität Trier	Master	Deutsch
Kunstgeschichte	Düsseldorf	Heinrich-Heine-Universität Düsseldorf	Bachelor	Deutsch
Kunstgeschichte	Greifswald	Universität Greifswald	Bachelor	Deutsch
Kunstgeschichte	Bochum	Ruhr-Universität Bochum	Bachelor	Deutsch
Kunstgeschichte	Stuttgart	Universität Stuttgart	Bachelor	Deutsch
Kunstgeschichte	Regensburg	Universität Regensburg	Bachelor	Deutsch
Kunstgeschichte	Dresden	Technische Universität Dresden	Bachelor	Deutsch
Kunstgeschichte	Marburg	Philipps-Universität Marburg	Bachelor	Deutsch
Kunstgeschichte	Leipzig	Universität Leipzig	Bachelor	Deutsch
Kunstgeschichte	Göttingen	Georg-August-Universität Göttingen	Bachelor	Deutsch
Kunstgeschichte	Münster	Westfälische Wilhelms-Universität Münster	Bachelor	Deutsch
Kunstgeschichte	Köln	Universität zu Köln	Bachelor	Deutsch
Kunstgeschichte	Freiburg	Albert-Ludwigs-Universität Freiburg im Breisgau	Bachelor	Deutsch
Kunstgeschichte	Bamberg	Otto-Friedrich-Universität Bamberg	Bachelor	Deutsch
Kunstgeschichte	Erlangen	Friedrich-Alexander-Universität Erlangen-Nürnberg	Bachelor	Deutsch
Kunstgeschichte	Tübingen	Eberhard Karls Universität Tübingen	Bachelor	Deutsch
Kunstgeschichte	Kiel	Christian-Albrechts-Universität zu Kiel	Bachelor	Deutsch
Kunstgeschichte	Mainz	Johannes Gutenberg-Universität Mainz	Bachelor	Deutsch
Kunstgeschichte	Würzburg	Julius-Maximilians-Universität Würzburg	Bachelor	Deutsch
Kunstgeschichte	München	Ludwig-Maximilians-Universität München	Bachelor	Deutsch
Kunstgeschichte	Halle an der Saale	Martin-Luther-Universität Halle-Wittenberg	Bachelor	Deutsch
Kunstgeschichte	Halle an der Saale	Martin-Luther-Universität Halle-Wittenberg	Bachelor	Deutsch
Kunstgeschichte	Bonn	Rheinische Friedrich-Wilhelms-Universität Bonn	Bachelor	Deutsch
Kunstgeschichte	Bochum	Ruhr-Universität Bochum	Master	Deutsch
Kunstgeschichte	Karlsruhe	Karlsruher Institut für Technologie	Master	Deutsch
Kunstgeschichte	Greifswald	Universität Greifswald	Master	Deutsch
Kunstgeschichte	Düsseldorf	Heinrich-Heine-Universität Düsseldorf	Master	Deutsch
Kunstgeschichte	Marburg	Philipps-Universität Marburg	Master	Deutsch
Kunstgeschichte	Stuttgart	Universität Stuttgart	Master	Deutsch
Kunstgeschichte	Tübingen	Eberhard Karls Universität Tübingen	Master	Deutsch
Kunstgeschichte	Köln	Universität zu Köln	Master	Deutsch
Kunstgeschichte	Dresden	Technische Universität Dresden	Master	Deutsch
Kunstgeschichte	Trier	Universität Trier	Master	Deutsch
Kunstgeschichte	Kiel	Christian-Albrechts-Universität zu Kiel	Master	Deutsch
Kunstgeschichte	Göttingen	Georg-August-Universität Göttingen	Master	Deutsch
Kunstgeschichte	Regensburg	Universität Regensburg	Master	Deutsch
Kunstgeschichte	Münster	Westfälische Wilhelms-Universität Münster	Master	Deutsch
Kunstgeschichte	Leipzig	Universität Leipzig	Master	Deutsch
Kunstgeschichte	Saarbrücken	Universität des Saarlandes	Master	Deutsch
Kunstgeschichte	Bamberg	Otto-Friedrich-Universität Bamberg	Master	Deutsch
Kunstgeschichte	Erlangen	Friedrich-Alexander-Universität Erlangen-Nürnberg	Master	Deutsch
Kunstgeschichte	Halle an der Saale	Martin-Luther-Universität Halle-Wittenberg	Master	Deutsch
Kunstgeschichte	Hamburg	Universität Hamburg	Master	Deutsch
Kunstgeschichte	Freiburg	Albert-Ludwigs-Universität Freiburg im Breisgau	Master	Deutsch
Kunstgeschichte	Halle an der Saale	Martin-Luther-Universität Halle-Wittenberg	Master	Deutsch
Kunstgeschichte	Würzburg	Julius-Maximilians-Universität Würzburg	Master	Deutsch
Kunstgeschichte	München	Ludwig-Maximilians-Universität München	Master	Deutsch
Kunstgeschichte	Köln	Universität zu Köln	Master	Deutsch
Kunstgeschichte	Frankfurt am Main	Johann Wolfgang Goethe-Universität, Frankfurt am Main	Master	Deutsch
Kunstgeschichte (Ergänzungsfach, Kern-/Ergänzungsfach)	Siegen	Universität Siegen	Bachelor	Deutsch
Kunstgeschichte (Kernfach, Kern-/Ergänzungsfach)	Siegen	Universität Siegen	Bachelor	Deutsch
Kunstgeschichte (Kernfach, Zwei-Fach-Bachelor)	Siegen	Universität Siegen	Bachelor	Deutsch
Kunstgeschichte - Kombinationsstudiengang Geschichts- und Kulturwissenschaften	Gießen	Justus-Liebig-Universität Gießen	Bachelor	Deutsch
Kunstgeschichte - Kombinationsstudiengang Geschichts- und Kulturwissenschaften	Gießen	Justus-Liebig-Universität Gießen	Master	Deutsch
