name	location	university	type	language
Alltagskultur und Gesundheit	Heidelberg	Pädagogische Hochschule Heidelberg	Bachelor	Deutsch
Alltagskultur und Gesundheit	Schwäbisch Gmünd	Pädagogische Hochschule Schwäbisch Gmünd	Bachelor	Deutsch
Alltagskultur und Gesundheit	Schwäbisch Gmünd	Pädagogische Hochschule Schwäbisch Gmünd	Bachelor	Deutsch
Alltagskultur und Gesundheit	Freiburg	Pädagogische Hochschule Freiburg	Bachelor	Deutsch
Alltagskultur und Gesundheit	Freiburg	Pädagogische Hochschule Freiburg	Bachelor	Deutsch
Alltagskultur und Gesundheit	Heidelberg	Pädagogische Hochschule Heidelberg	Bachelor	Deutsch
Alltagskultur und Gesundheit	Karlsruhe	Pädagogische Hochschule Karlsruhe	Master	Deutsch
Alltagskultur und Gesundheit	Heidelberg	Pädagogische Hochschule Heidelberg	Master	Deutsch
Alltagskultur und Gesundheit	Karlsruhe	Pädagogische Hochschule Karlsruhe	Master	Deutsch
Alltagskultur und Gesundheit	Schwäbisch Gmünd	Pädagogische Hochschule Schwäbisch Gmünd	Master	Deutsch
Alphabetisierung und Grundbildung	Weingarten	Pädagogische Hochschule Weingarten	Master	Deutsch
Alt-Katholische und Ökumenische Theologie	Bonn	Rheinische Friedrich-Wilhelms-Universität Bonn	Master	Deutsch
Altamerikanistik und Ethnologie	Bonn	Rheinische Friedrich-Wilhelms-Universität Bonn	Bachelor	Deutsch
Altamerikanistik und Ethnologie	Bonn	Rheinische Friedrich-Wilhelms-Universität Bonn	Master	Deutsch
Altbauinstandsetzung	Karlsruhe	Karlsruher Institut für Technologie	Master	Deutsch
Alte Geschichte	Jena	Friedrich-Schiller-Universität Jena	Bachelor	Deutsch
Alte Geschichte	Heidelberg	Ruprecht-Karls-Universität Heidelberg	Bachelor	Deutsch
Alte Geschichte	Rostock	Universität Rostock	Bachelor	Deutsch
Alte Geschichte	Heidelberg	Ruprecht-Karls-Universität Heidelberg	Master	Deutsch
Alte Geschichte	Halle an der Saale	Martin-Luther-Universität Halle-Wittenberg	Master	Deutsch
Alte Geschichte	Rostock	Universität Rostock	Master	Deutsch
Alte Musik	Weimar	Hochschule für Musik Franz Liszt Weimar	Bachelor	Deutsch
Alte Musik	Trossingen	Staatliche Hochschule für Musik Trossingen	Bachelor	Deutsch
Alte Musik	Leipzig	Hochschule für Musik und Theater "Felix Mendelssohn Bartholdy" Leipzig	Bachelor	Deutsch
