item,itemLabel,itemDescription,instanceLabel,subclassLabel,image
http://www.wikidata.org/entity/Q7877,electrochemistry,branch of chemistry,interdisciplinary science,physical chemistry,http://commons.wikimedia.org/wiki/Special:FilePath/Schemas%20electrolyse%20h2o.jpg
http://www.wikidata.org/entity/Q420,biology,study of life,branch of science,natural science,http://commons.wikimedia.org/wiki/Special:FilePath/Aerial%20view%20of%20the%20Amazon%20Rainforest.jpg
http://www.wikidata.org/entity/Q7991,natural science,branch of science about the natural world,school subject,science,http://commons.wikimedia.org/wiki/Special:FilePath/ADN%20animation.gif
http://www.wikidata.org/entity/Q7991,natural science,branch of science about the natural world,school subject,science,http://commons.wikimedia.org/wiki/Special:FilePath/Brokechromo.jpg
http://www.wikidata.org/entity/Q7991,natural science,branch of science about the natural world,school subject,science,http://commons.wikimedia.org/wiki/Special:FilePath/NaturalScienceMontage.png
http://www.wikidata.org/entity/Q46255,geophysics,physical processes and phenomena occurring in the earth and in its vicinity,branch of science,physics,http://commons.wikimedia.org/wiki/Special:FilePath/Earth%20cutaway.png
http://www.wikidata.org/entity/Q46255,geophysics,physical processes and phenomena occurring in the earth and in its vicinity,branch of science,physics,http://commons.wikimedia.org/wiki/Special:FilePath/Earth%20gravity.png
http://www.wikidata.org/entity/Q46255,geophysics,physical processes and phenomena occurring in the earth and in its vicinity,branch of science,physics,http://commons.wikimedia.org/wiki/Special:FilePath/Magnetosphere%20rendition.jpg
http://www.wikidata.org/entity/Q34749,social science,academic discipline concerned with society and the relationships,class used in Universal Decimal Classification,science,http://commons.wikimedia.org/wiki/Special:FilePath/Da%20Vinci%20Vitruve%20Luc%20Viatour.jpg
http://www.wikidata.org/entity/Q43455,ethnology,social science that deals with ethnies (Peoples),cultural studies,cultural studies,http://commons.wikimedia.org/wiki/Special:FilePath/Huculi%201902.png
http://www.wikidata.org/entity/Q43455,ethnology,social science that deals with ethnies (Peoples),cultural studies,cultural studies,http://commons.wikimedia.org/wiki/Special:FilePath/Town%20chief%20Mamadou%20Mansary%20%28centre%20with%20white%20beard%29%20and%20some%20residents%20of%20Bafodia%2C%20Sierra%20Leone%20%28West%20Africa%29%20%282078274863%29.jpg
http://www.wikidata.org/entity/Q43455,ethnology,social science that deals with ethnies (Peoples),cultural studies,cultural studies,http://commons.wikimedia.org/wiki/Special:FilePath/Vic%20Dessos%20Cabanne%20au%20col%20chemin%20d%27Aubus%20Regnault-%20M.Cochet%20-%20Fonds%20Trutat%20-%20MHNT.PHa.912.A422.jpg
http://www.wikidata.org/entity/Q52109,geomorphology,the scientific study of landforms and the processes that shape them,branch of science,physical geography,http://commons.wikimedia.org/wiki/Special:FilePath/Earth%20seafloor%20crust%20age%201996%20-%202.png
http://www.wikidata.org/entity/Q52109,geomorphology,the scientific study of landforms and the processes that shape them,branch of science,physical geography,http://commons.wikimedia.org/wiki/Special:FilePath/Glacial%20landscape%20LMB.png
http://www.wikidata.org/entity/Q34749,social science,academic discipline concerned with society and the relationships,class used in Universal Decimal Classification,science,http://commons.wikimedia.org/wiki/Special:FilePath/Wealth%20of%20Nations%20title.jpg
